persona,question,average_score,standard_deviation
2,1,4.1,0.31622776601683794
2,2,4.0,0.0
2,3,3.0,0.0
2,4,2.7,0.48304589153964794
2,5,2.0,0.0
2,6,4.0,0.0
2,7,4.0,0.0
2,8,4.0,0.0
2,9,1.9,0.31622776601683794
2,10,3.0,0.0
2,11,4.7,0.48304589153964794
2,12,4.7,0.48304589153964794
2,13,4.0,0.0
2,14,3.2,0.4216370213557839
2,15,2.0,0.6666666666666666
2,16,5.0,0.0
2,17,5.0,0.0
2,18,4.0,0.0
2,19,4.0,0.0
2,20,2.2,1.0327955589886444
2,21,4.8,0.4216370213557839
2,22,4.2,0.4216370213557839
2,23,4.0,0.0
2,24,2.9,0.31622776601683794
2,25,1.5,0.8498365855987975
2,26,2.2,0.7888106377466155
2,27,3.1,0.31622776601683794
2,28,3.6,0.5163977794943223
2,29,4.0,0.0
2,30,3.1,0.31622776601683794
3,1,4.0,0.0
3,2,4.0,0.0
3,3,3.0,0.0
3,4,3.7,0.48304589153964794
3,5,3.4,0.5163977794943223
3,6,4.8,0.4216370213557839
3,7,4.0,0.0
3,8,4.0,0.0
3,9,3.2,0.4216370213557839
3,10,2.8,0.4216370213557839
3,11,4.6,0.5163977794943222
3,12,4.5,0.5270462766947299
3,13,3.5,0.5270462766947299
3,14,4.0,0.0
3,15,3.4,0.5163977794943223
3,16,5.0,0.0
3,17,5.0,0.0
3,18,4.9,0.31622776601683794
3,19,4.1,0.31622776601683794
3,20,3.1,0.31622776601683794
3,21,5.0,0.0
3,22,4.7,0.48304589153964794
3,23,4.0,0.0
3,24,3.4,0.5163977794943223
3,25,3.2,0.7888106377466155
3,26,4.0,0.4714045207910317
3,27,3.8,0.4216370213557839
3,28,4.0,0.0
3,29,3.2,0.6324555320336759
3,30,3.7,0.48304589153964794
4,1,3.7,0.48304589153964794
4,2,4.1,0.31622776601683794
4,3,2.9,0.31622776601683794
4,4,2.9,0.5676462121975467
4,5,2.3,0.48304589153964794
4,6,4.0,0.0
4,7,4.0,0.0
4,8,4.8,0.4216370213557839
4,9,4.0,0.0
4,10,1.9,0.31622776601683794
4,11,3.3,0.48304589153964794
4,12,3.0,0.6666666666666666
4,13,4.5,0.5270462766947299
4,14,3.8,0.4216370213557839
4,15,1.0,0.0
4,16,4.0,0.0
4,17,4.8,0.4216370213557839
4,18,3.0,0.0
4,19,3.9,0.31622776601683794
4,20,2.0,0.6666666666666666
4,21,3.3,0.6749485577105528
4,22,4.0,0.0
4,23,4.5,0.5270462766947299
4,24,4.0,0.0
4,25,0.1,0.31622776601683794
4,26,1.2,0.7888106377466155
4,27,3.3,0.48304589153964794
4,28,2.7,0.9486832980505138
4,29,3.2,0.4216370213557839
4,30,2.8,0.4216370213557839
5,1,2.0,0.0
5,2,2.5,0.5270462766947299
5,3,1.5,0.7071067811865476
5,4,3.9,0.31622776601683794
5,5,0.6,0.5163977794943223
5,6,2.5,0.5270462766947299
5,7,2.8,0.4216370213557839
5,8,4.1,0.31622776601683794
5,9,1.0,0.0
5,10,1.1,0.31622776601683794
5,11,0.8,0.7888106377466155
5,12,2.6,0.8432740427115678
5,13,3.7,0.48304589153964794
5,14,4.2,0.4216370213557839
5,15,0.0,0.0
5,16,3.9,0.31622776601683794
5,17,5.0,0.0
5,18,4.0,0.0
5,19,4.1,0.31622776601683794
5,20,1.9,0.5676462121975467
5,21,4.4,0.5163977794943222
5,22,4.0,0.0
5,23,3.3,0.48304589153964794
5,24,2.2,0.4216370213557839
5,25,0.7,0.8232726023485646
5,26,2.6,0.5163977794943223
5,27,3.4,0.5163977794943223
5,28,4.0,0.0
5,29,4.0,0.0
5,30,3.2,0.4216370213557839
6,1,4.1,0.31622776601683794
6,2,4.0,0.0
6,3,1.8,0.42163702135578396
6,4,2.1,0.31622776601683794
6,5,1.5,0.5270462766947299
6,6,4.4,0.5163977794943222
6,7,4.0,0.0
6,8,3.9,0.31622776601683794
6,9,1.5,0.5270462766947299
6,10,2.9,0.31622776601683794
6,11,4.7,0.48304589153964794
6,12,5.0,0.0
6,13,4.0,0.0
6,14,3.2,0.4216370213557839
6,15,2.0,0.4714045207910317
6,16,5.0,0.0
6,17,5.0,0.0
6,18,3.2,0.4216370213557839
6,19,4.0,0.0
6,20,2.1,0.31622776601683794
6,21,4.6,0.5163977794943222
6,22,4.5,0.5270462766947299
6,23,3.8,0.4216370213557839
6,24,2.1,0.5676462121975467
6,25,1.3,0.4830458915396479
6,26,2.3,0.48304589153964794
6,27,3.9,0.31622776601683794
6,28,2.4,0.6992058987801011
6,29,3.7,0.48304589153964794
6,30,3.1,0.31622776601683794
7,1,5.0,0.0
7,2,4.1,0.31622776601683794
7,3,3.0,0.0
7,4,2.3,0.48304589153964794
7,5,2.0,0.0
7,6,4.6,0.5163977794943222
7,7,4.0,0.0
7,8,4.0,0.0
7,9,1.8,0.4216370213557839
7,10,2.9,0.31622776601683794
7,11,5.0,0.0
7,12,5.0,0.0
7,13,4.0,0.0
7,14,3.0,0.0
7,15,2.1,0.31622776601683794
7,16,5.0,0.0
7,17,5.0,0.0
7,18,4.0,0.0
7,19,3.6,0.5163977794943223
7,20,1.8,0.42163702135578396
7,21,5.0,0.0
7,22,5.0,0.0
7,23,4.0,0.0
7,24,2.0,0.4714045207910317
7,25,1.8,0.7888106377466155
7,26,1.9,0.31622776601683794
7,27,4.0,0.0
7,28,1.8,0.42163702135578396
7,29,2.4,0.5163977794943223
7,30,2.2,0.4216370213557839
8,1,2.7,0.48304589153964794
8,2,3.0,0.0
8,3,4.0,0.0
8,4,4.1,0.31622776601683794
8,5,2.3,0.48304589153964794
8,6,4.0,0.0
8,7,4.0,0.0
8,8,4.0,0.0
8,9,1.9,0.31622776601683794
8,10,2.4,0.5163977794943223
8,11,3.8,0.4216370213557839
8,12,4.1,0.31622776601683794
8,13,4.0,0.0
8,14,4.0,0.0
8,15,3.4,0.6992058987801011
8,16,4.1,0.31622776601683794
8,17,4.3,0.48304589153964794
8,18,5.0,0.0
8,19,5.0,0.0
8,20,2.4,0.9660917830792959
8,21,4.7,0.48304589153964794
8,22,4.0,0.0
8,23,4.4,0.5163977794943222
8,24,4.0,0.0
8,25,1.1,0.5676462121975467
8,26,2.1,0.5676462121975467
8,27,1.5,0.7071067811865476
8,28,4.0,0.0
8,29,4.2,0.4216370213557839
8,30,3.9,0.31622776601683794
9,1,3.8,0.6324555320336759
9,2,3.1,0.8755950357709131
9,3,1.8,0.42163702135578396
9,4,2.0,0.0
9,5,2.0,0.816496580927726
9,6,4.0,0.0
9,7,4.0,0.0
9,8,4.0,0.0
9,9,1.7,0.48304589153964794
9,10,2.5,0.5270462766947299
9,11,4.1,0.31622776601683794
9,12,3.9,0.31622776601683794
9,13,4.0,0.0
9,14,2.5,0.5270462766947299
9,15,0.9,0.31622776601683794
9,16,3.6,0.8432740427115679
9,17,4.3,0.6749485577105528
9,18,3.5,0.5270462766947299
9,19,2.1,0.31622776601683794
9,20,1.9,0.8755950357709131
9,21,4.8,0.4216370213557839
9,22,3.9,0.31622776601683794
9,23,4.2,0.4216370213557839
9,24,3.2,1.6865480854231356
9,25,1.4,0.9660917830792958
9,26,1.6,0.6992058987801011
9,27,3.5,0.7071067811865476
9,28,2.1,1.1972189997378646
9,29,2.4,0.5163977794943223
9,30,1.3,1.4181364924121764
10,1,4.2,0.4216370213557839
10,2,4.0,0.0
10,3,3.0,0.0
10,4,2.1,0.31622776601683794
10,5,2.0,0.0
10,6,4.3,0.48304589153964794
10,7,4.0,0.0
10,8,3.9,0.31622776601683794
10,9,1.9,0.31622776601683794
10,10,2.9,0.31622776601683794
10,11,5.0,0.0
10,12,4.7,0.48304589153964794
10,13,4.0,0.0
10,14,3.2,0.4216370213557839
10,15,2.1,0.5676462121975466
10,16,4.9,0.31622776601683794
10,17,5.0,0.0
10,18,4.0,0.0
10,19,4.0,0.0
10,20,2.3,0.48304589153964794
10,21,4.9,0.31622776601683794
10,22,4.7,0.48304589153964794
10,23,4.0,0.0
10,24,2.7,0.48304589153964794
10,25,2.0,0.6666666666666666
10,26,2.2,0.4216370213557839
10,27,4.0,0.0
10,28,1.7,0.4830458915396479
10,29,3.0,0.0
10,30,2.7,0.48304589153964794
11,1,4.9,0.31622776601683794
11,2,4.0,0.0
11,3,2.0,0.0
11,4,2.0,0.0
11,5,1.9,0.31622776601683794
11,6,4.2,0.4216370213557839
11,7,4.0,0.0
11,8,3.3,0.6749485577105528
11,9,1.2,0.42163702135578396
11,10,2.8,0.4216370213557839
11,11,4.6,0.5163977794943222
11,12,4.7,0.48304589153964794
11,13,3.1,0.31622776601683794
11,14,2.9,0.31622776601683794
11,15,0.3,0.4830458915396479
11,16,4.6,0.5163977794943222
11,17,5.0,0.0
11,18,3.0,0.0
11,19,3.9,0.31622776601683794
11,20,2.1,0.31622776601683794
11,21,4.7,0.48304589153964794
11,22,4.0,0.0
11,23,3.2,0.4216370213557839
11,24,2.5,0.5270462766947299
11,25,0.2,0.6324555320336759
11,26,2.8,0.6324555320336759
11,27,4.0,0.0
11,28,2.0,0.0
11,29,2.0,0.0
11,30,2.8,0.4216370213557839
12,1,5.0,0.0
12,2,4.6,0.5163977794943222
12,3,2.8,0.6324555320336759
12,4,3.9,0.31622776601683794
12,5,2.8,0.4216370213557839
12,6,5.0,0.0
12,7,4.9,0.31622776601683794
12,8,4.0,0.0
12,9,1.9,0.31622776601683794
12,10,3.1,0.31622776601683794
12,11,5.0,0.0
12,12,5.0,0.0
12,13,4.7,0.48304589153964794
12,14,4.2,0.4216370213557839
12,15,4.2,0.4216370213557839
12,16,5.0,0.0
12,17,5.0,0.0
12,18,3.9,0.31622776601683794
12,19,4.7,0.48304589153964794
12,20,3.4,0.6992058987801011
12,21,5.0,0.0
12,22,5.0,0.0
12,23,4.0,0.0
12,24,2.4,0.6992058987801011
12,25,1.7,0.9486832980505138
12,26,4.1,0.9944289260117533
12,27,4.3,0.48304589153964794
12,28,4.0,0.0
12,29,4.3,0.48304589153964794
12,30,3.3,0.48304589153964794
13,1,4.2,0.4216370213557839
13,2,4.1,0.31622776601683794
13,3,1.0,0.0
13,4,1.0,0.0
13,5,1.0,0.0
13,6,4.0,0.0
13,7,4.0,0.0
13,8,4.0,0.0
13,9,0.6,0.5163977794943222
13,10,2.1,0.31622776601683794
13,11,4.5,0.5270462766947299
13,12,4.9,0.31622776601683794
13,13,3.9,0.31622776601683794
13,14,3.0,0.4714045207910317
13,15,0.5,0.5270462766947299
13,16,4.3,0.48304589153964794
13,17,5.0,0.0
13,18,2.0,0.0
13,19,1.6,0.5163977794943223
13,20,1.6,0.5163977794943223
13,21,5.0,0.0
13,22,4.0,0.0
13,23,3.0,0.0
13,24,1.4,0.5163977794943223
13,25,0.3,0.4830458915396479
13,26,2.6,0.6992058987801011
13,27,4.0,0.0
13,28,0.1,0.31622776601683794
13,29,0.3,0.48304589153964794
13,30,0.7,0.48304589153964794
14,1,4.0,0.0
14,2,4.0,0.0
14,3,3.6,0.5163977794943223
14,4,3.0,0.0
14,5,2.3,0.6749485577105528
14,6,4.0,0.0
14,7,4.7,0.48304589153964794
14,8,5.0,0.0
14,9,1.9,0.5676462121975466
14,10,3.1,0.31622776601683794
14,11,4.4,0.5163977794943222
14,12,4.5,0.5270462766947299
14,13,5.0,0.0
14,14,3.0,0.0
14,15,3.4,0.5163977794943223
14,16,4.5,0.5270462766947299
14,17,5.0,0.0
14,18,4.5,0.5270462766947299
14,19,4.3,0.48304589153964794
14,20,2.4,0.5163977794943223
14,21,5.0,0.0
14,22,4.9,0.31622776601683794
14,23,5.0,0.0
14,24,3.3,0.48304589153964794
14,25,1.8,0.6324555320336759
14,26,1.7,0.674948557710553
14,27,3.4,0.5163977794943223
14,28,5.0,0.0
14,29,4.4,0.5163977794943222
14,30,1.9,0.31622776601683794
15,1,4.6,0.5163977794943222
15,2,4.0,0.0
15,3,2.5,0.5270462766947299
15,4,2.2,0.4216370213557839
15,5,2.0,0.0
15,6,4.0,0.0
15,7,4.0,0.0
15,8,3.8,0.4216370213557839
15,9,2.0,0.0
15,10,2.8,0.4216370213557839
15,11,4.9,0.31622776601683794
15,12,4.9,0.31622776601683794
15,13,3.1,0.31622776601683794
15,14,3.3,0.48304589153964794
15,15,0.7,0.674948557710553
15,16,4.4,0.5163977794943222
15,17,5.0,0.0
15,18,3.1,0.31622776601683794
15,19,3.9,0.31622776601683794
15,20,2.1,0.31622776601683794
15,21,4.8,0.4216370213557839
15,22,4.6,0.5163977794943222
15,23,3.9,0.31622776601683794
15,24,2.1,0.5676462121975467
15,25,1.2,0.6324555320336759
15,26,1.9,0.7378647873726218
15,27,4.0,0.0
15,28,2.0,0.0
15,29,3.0,0.6666666666666666
15,30,3.2,0.4216370213557839
16,1,4.2,0.4216370213557839
16,2,3.9,0.31622776601683794
16,3,1.7,0.4830458915396479
16,4,1.4,0.5163977794943223
16,5,1.3,0.48304589153964794
16,6,4.0,0.0
16,7,4.0,0.0
16,8,3.1,0.7378647873726218
16,9,1.0,0.0
16,10,2.1,0.31622776601683794
16,11,4.1,0.31622776601683794
16,12,4.1,0.31622776601683794
16,13,3.9,0.31622776601683794
16,14,3.7,0.48304589153964794
16,15,0.2,0.42163702135578396
16,16,4.2,0.4216370213557839
16,17,4.3,0.8232726023485646
16,18,2.1,0.31622776601683794
16,19,1.5,0.5270462766947299
16,20,2.3,0.8232726023485646
16,21,4.2,0.9189365834726815
16,22,2.7,0.6749485577105528
16,23,2.4,0.5163977794943223
16,24,1.4,0.6992058987801011
16,25,2.7,1.4181364924121764
16,26,1.5,0.5270462766947299
16,27,3.8,0.6324555320336759
16,28,0.6,0.5163977794943222
16,29,1.4,0.6992058987801011
16,30,2.2,1.3165611772087666
17,1,5.0,0.0
17,2,5.0,0.0
17,3,3.0,0.0
17,4,3.8,0.4216370213557839
17,5,3.0,0.0
17,6,5.0,0.0
17,7,5.0,0.0
17,8,4.0,0.0
17,9,2.0,0.0
17,10,2.3,0.48304589153964794
17,11,5.0,0.0
17,12,5.0,0.0
17,13,3.7,0.48304589153964794
17,14,4.0,0.0
17,15,2.9,0.5676462121975467
17,16,5.0,0.0
17,17,5.0,0.0
17,18,4.0,0.0
17,19,5.0,0.0
17,20,3.2,0.4216370213557839
17,21,5.0,0.0
17,22,5.0,0.0
17,23,3.5,0.5270462766947299
17,24,1.0,0.9428090415820634
17,25,0.9,0.8755950357709131
