model,foundation,susceptibility,s_uncertainty,robustness,r_uncertainty
claude-haiku-4-5,Authority/Respect,0.7944038883829252,0.06949320093794371,34.11809407851289,9.619367305654729
claude-haiku-4-5,Fairness/Reciprocity,0.5856684137572575,0.039528549841565536,29.31164737996395,10.105764743636435
claude-haiku-4-5,Harm/Care,0.7110110113380453,0.06387526093572764,25.036286272169093,7.219521462181731
claude-haiku-4-5,In-group/Loyalty,0.96399132018876,0.06796961276344897,35.19564627151947,9.349562626728845
claude-haiku-4-5,Purity/Sanctity,0.8577555783835198,0.09527477884139822,29.461938204211407,6.895131125818247
claude-sonnet-4-5,Authority/Respect,0.8675682911060296,0.06325759820543295,73.52378711814733,17.855005899096735
claude-sonnet-4-5,Fairness/Reciprocity,0.5882519167896264,0.0451234387330844,74.80478722970966,19.54915378166951
claude-sonnet-4-5,Harm/Care,0.577708545426614,0.033695275011170214,169.90446341908307,64.58548238959584
claude-sonnet-4-5,In-group/Loyalty,0.8666003791046974,0.03945549978514112,105.24112214376795,30.803701305022983
claude-sonnet-4-5,Purity/Sanctity,0.7829948107821608,0.07959958797632848,180.19480562973882,69.44052105640074
gemini-2.5-flash-lite,Authority/Respect,0.7057978840118582,0.031701343816320594,27.08274698219834,3.8922606164598412
gemini-2.5-flash-lite,Fairness/Reciprocity,0.6750381094967646,0.03395259681056408,24.982833198583727,3.45381347453017
gemini-2.5-flash-lite,Harm/Care,0.7696575567177699,0.03703682814037878,37.532606703194986,7.01637780846309
gemini-2.5-flash-lite,In-group/Loyalty,0.8620986808956893,0.05064021856522751,27.514004300599176,4.096221908257816
gemini-2.5-flash-lite,Purity/Sanctity,0.8668991461888838,0.06569057698806184,28.301247884382274,4.26979825194279
gpt-4.1,Authority/Respect,0.8988841785128596,0.06534864831373727,13.318205190061523,1.3672969012394751
gpt-4.1,Fairness/Reciprocity,0.5617172454581005,0.07418192512178633,23.03798569153272,3.023069375257122
gpt-4.1,Harm/Care,0.5788929785832374,0.04458206057682656,15.580168107502494,1.6706534076794657
gpt-4.1,In-group/Loyalty,1.0074494357121169,0.047350650111155655,12.148881058439276,1.1354258757557936
gpt-4.1,Purity/Sanctity,0.9161101814197683,0.08958667276938005,12.652836948264985,1.1885004853508745
gpt-4.1-mini,Authority/Respect,0.8616015488314335,0.041222713129785774,10.066363074167906,0.8725952832866049
gpt-4.1-mini,Fairness/Reciprocity,0.5621823076144584,0.060458332314069003,16.500110564968747,1.8235110112613941
gpt-4.1-mini,Harm/Care,0.6378986911811244,0.03542360820775851,13.093717891858121,1.3004342470380466
gpt-4.1-mini,In-group/Loyalty,0.9347619324965929,0.04894040490276504,11.413318567604236,1.040303994335352
gpt-4.1-mini,Purity/Sanctity,0.8999879477390105,0.057259953105508715,9.492559672793448,0.794448265270319
gpt-4.1-nano,Authority/Respect,0.690534454777401,0.05529721512099977,12.597436491457112,1.3919124687480895
gpt-4.1-nano,Fairness/Reciprocity,0.5869006765348607,0.057630715546767325,15.630694981357061,1.7801524879878903
gpt-4.1-nano,Harm/Care,0.7376702387521037,0.062105487736671905,9.677851281425376,1.2131755357830325
gpt-4.1-nano,In-group/Loyalty,0.6434649593369992,0.07322409963252141,17.500772077361653,2.119105874899985
gpt-4.1-nano,Purity/Sanctity,0.7507668470286214,0.0819356079216452,14.004447745667138,1.6370029188368875
gpt-4o-mini,Authority/Respect,0.6752278383513731,0.055919602082752595,12.690615269443107,1.3714264472076239
gpt-4o-mini,Fairness/Reciprocity,0.5044766890194472,0.047056548664504656,17.996536084166596,2.056077493985998
gpt-4o-mini,Harm/Care,0.43528394224605077,0.04133420434559951,21.55163961953493,2.762219021319691
gpt-4o-mini,In-group/Loyalty,0.6765621352166452,0.052220603229308965,14.589274503640821,1.5935560931925832
gpt-4o-mini,Purity/Sanctity,0.7500002144990608,0.047731166254256045,8.423475644991349,0.6646327667238514
grok-4,Authority/Respect,0.8473773718223744,0.04625682426774166,3.2495122649626023,0.12865623923959013
grok-4,Fairness/Reciprocity,0.5424481264203109,0.0502450915633419,4.3860640934887405,0.2069750280699525
grok-4,Harm/Care,0.6060044901580008,0.03448359347683922,3.458347780285706,0.1447429256781337
grok-4,In-group/Loyalty,0.7908349835784154,0.05004900741722177,4.116112347943189,0.1842318627099877
grok-4,Purity/Sanctity,0.9641802086058983,0.06823482068483622,2.4161127804060536,0.06838483115639128
grok-4-fast,Authority/Respect,0.9667328213211186,0.052407560135657956,2.9423100225069545,0.10898569669081656
grok-4-fast,Fairness/Reciprocity,0.5714908649450461,0.07354853160402253,5.7246775812380974,0.38814706022241474
grok-4-fast,Harm/Care,0.6921032550034878,0.046772052533866314,3.997904100962608,0.22146151324009586
grok-4-fast,In-group/Loyalty,0.9422169747439906,0.05034061742880924,3.200103743639523,0.11729971370474493
grok-4-fast,Purity/Sanctity,1.1015386015159545,0.08070670354146481,2.609831139423684,0.08629967611138548
